Cep,Endereço,Lat,Lng
Nan,Nan,Nan,Nan
Nan,Nan,Nan,Nan
Nan,Nan,Nan,Nan
58400195,Rua Giló Guedes - Centro - Campina Grande - PB,-7.218219499999999,-35.8756793
Nan,Nan,Nan,Nan
Nan,Nan,Nan,Nan
58400198,Travessa Cinco de Agosto - Centro - Campina Grande - PB,-7.2204354,-35.8763805
Nan,Nan,Nan,Nan
58400200,Rua Capitão João de Sá - Centro - Campina Grande - PB,-7.219813299999999,-35.8761928
Nan,Nan,Nan,Nan
58400202,Rua Manoel Pereira de Araújo - Centro - Campina Grande - PB,-7.219220699999999,-35.8772417
Nan,Nan,Nan,Nan
58400204,Rua Doutor Carlos Agra - Centro - Campina Grande - PB,-7.219904099999999,-35.8770149
58400205,Travessa Doutor Carlos Agra - Centro - Campina Grande - PB,-7.219904099999999,-35.8770149
58400206,Rua Pedro Álvares Cabral - Centro - Campina Grande - PB,-7.2193065,-35.8779373
Nan,Nan,Nan,Nan
58400208,Rua Quebra Quilos - Centro - Campina Grande - PB,-7.2210156,-35.8766416
Nan,Nan,Nan,Nan
58400210,Rua Ulisses Gomes - Centro - Campina Grande - PB,-7.2217821,-35.8763928
58400211,Vila Franca - Centro - Campina Grande - PB,-7.218406000000001,-35.884185
58400212,Travessa Ulisses Gomes - Centro - Campina Grande - PB,-7.221603999999999,-35.876047
58400213,Vila Barbosa - Centro - Campina Grande - PB,-7.2183182,-35.88557
58400214,Rua Manoel Gonçalves Guimarães - Centro - Campina Grande - PB,-7.2232745,-35.8767851
58400215,Vila Anchieta - Centro - Campina Grande - PB,-7.231753599999999,-35.8790035
58400216,Praça Professor José Lopes de Andrade - Centro - Campina Grande - PB,-7.240561400000001,-35.8662507
Nan,Nan,Nan,Nan
Nan,Nan,Nan,Nan
Nan,Nan,Nan,Nan
58400220,Rua Vila Nova da Rainha - Centro - Campina Grande - PB,-7.221083499999999,-35.878726
Nan,Nan,Nan,Nan
Nan,Nan,Nan,Nan
58400223,Rua Cristóvão Colombo - Centro - Campina Grande - PB,-7.219400599999999,-35.8786207
58400224,Largo do Mercado Central - Centro - Campina Grande - PB,-7.215655000000001,-35.8866919
58400225,Rua Manoel Farias Leite - Centro - Campina Grande - PB,-7.2195983,-35.8782048
Nan,Nan,Nan,Nan
58400227,Rua Doutor Antônio Sá - Centro - Campina Grande - PB,-7.2193331,-35.8791075
Nan,Nan,Nan,Nan
Nan,Nan,Nan,Nan
58400230,Rua Peregrino de Carvalho - Centro - Campina Grande - PB,-7.2175663,-35.8814012
Nan,Nan,Nan,Nan
Nan,Nan,Nan,Nan
58400233,Rua Bento Viana - Centro - Campina Grande - PB,-7.218632500000001,-35.8809755
58400234,Praça Nossa Senhora da Conceição - Centro - Campina Grande - PB,-7.218450700000001,-35.8812196
58400235,Rua Afonso Campos - Centro - Campina Grande - PB,-7.219339799999999,-35.8816382
Nan,Nan,Nan,Nan
Nan,Nan,Nan,Nan
58400238,Rua Pedro Américo - Centro - Campina Grande - PB,-7.2195564,-35.8807913
